key_id,scheme_id,scheme,code_id,major_code,major_code_topic,minor_code,minor_code_topic,policy_area
311,2,Case law directory (new),120,6.06,Restrictive measures,None,None,None
312,2,Case law directory (new),121,6.07,International agreements,6.07.00,General,External relations
313,2,Case law directory (new),122,6.07,International agreements,6.07.01,Respective competences of the European Union and of the Member States,External relations
314,2,Case law directory (new),123,6.07,International agreements,6.07.02,Negotiation and conclusion,External relations
315,2,Case law directory (new),124,6.07,International agreements,6.07.03,Prior opinion of the Court,External relations
316,2,Case law directory (new),125,6.07,International agreements,6.07.04,"Effects, scope and limits",External relations
317,2,Case law directory (new),126,6.07,International agreements,6.07.05,Observance of prior international agreements concluded by Member States,External relations
318,2,Case law directory (new),127,6.07,International agreements,6.07.06,The UN,External relations
319,2,Case law directory (new),128,6.07,International agreements,6.07.07,GATT and WTO,External relations
320,2,Case law directory (new),129,6.07,International agreements,6.07.08,International agreements on the environment,External relations
321,2,Case law directory (new),130,6.07,International agreements,6.07.09,International agreements on energy,External relations
322,2,Case law directory (new),131,6.07,International agreements,6.07.10,International agreements on private international law,External relations
323,2,Case law directory (new),132,6.07,International agreements,6.07.11,International agreements on agriculture and fisheries,External relations
324,2,Case law directory (new),133,6.07,International agreements,6.07.12,International agreements on transport,External relations
325,2,Case law directory (new),134,6.07,International agreements,6.07.13,International agreements on criminal law,External relations
326,2,Case law directory (new),135,6.07,International agreements,6.07.14,Agreements on development cooperation,External relations
327,2,Case law directory (new),136,6.07,International agreements,6.07.15,"Free trade, association, stabilization etc. agreements",External relations
328,2,Case law directory (new),137,6.08,Diplomatic relations,None,None,External relations
329,2,Case law directory (new),138,6.09,Solidarity clause,None,None,None
330,3,Directory of legal acts,1,01,"General, financial and institutional matters",01.07,Statistics,None
331,3,Directory of legal acts,2,01,"General, financial and institutional matters",01.10,"Principles, objectives and tasks of the Treaties",None
332,3,Directory of legal acts,3,01,"General, financial and institutional matters",01.20,General provisions,None
333,3,Directory of legal acts,4,01,"General, financial and institutional matters",01.30,Scope of the Treaties,None
334,3,Directory of legal acts,5,01,"General, financial and institutional matters",01.40,Provisions governing the institutions,None
335,3,Directory of legal acts,6,01,"General, financial and institutional matters",01.50,Administration and Staff Regulations,None
336,3,Directory of legal acts,7,01,"General, financial and institutional matters",01.60,Financial and budgetary provisions,Budget
337,3,Directory of legal acts,8,02,Customs Union and free movement of goods,02.05,General,Customs union
338,3,Directory of legal acts,9,02,Customs Union and free movement of goods,02.07,Statistics,Customs union
339,3,Directory of legal acts,10,02,Customs Union and free movement of goods,02.10,General customs rules,Customs union
340,3,Directory of legal acts,11,02,Customs Union and free movement of goods,02.20,Basic customs instruments,Customs union
341,3,Directory of legal acts,12,02,Customs Union and free movement of goods,02.30,Application of the Common Customs Tariff,Customs union
342,3,Directory of legal acts,13,02,Customs Union and free movement of goods,02.40,Specific customs rules,Customs union
343,3,Directory of legal acts,14,02,Customs Union and free movement of goods,02.50,Mutual assistance,Customs union
344,3,Directory of legal acts,15,02,Customs Union and free movement of goods,02.60,Proceedings and penalties,Customs union
345,3,Directory of legal acts,16,02,Customs Union and free movement of goods,02.70,International customs cooperation,Customs union
346,3,Directory of legal acts,17,03,Agriculture,03.05,General,Agriculture
347,3,Directory of legal acts,18,03,Agriculture,03.07,Statistics,Agriculture
348,3,Directory of legal acts,19,03,Agriculture,03.10,Basic provisions,Agriculture
349,3,Directory of legal acts,20,03,Agriculture,03.20,Agricultural structural funds,Agriculture
350,3,Directory of legal acts,21,03,Agriculture,03.30,Agricultural structures,Agriculture
351,3,Directory of legal acts,22,03,Agriculture,03.40,Monetary measures,Agriculture
352,3,Directory of legal acts,23,03,Agriculture,03.50,Approximation of laws and health measures,Agriculture
353,3,Directory of legal acts,24,03,Agriculture,03.60,Products subject to market organization,Agriculture
354,3,Directory of legal acts,25,03,Agriculture,03.70,Products not subject to market organization,Agriculture
355,3,Directory of legal acts,26,03,Agriculture,03.80,Agreements with non-member countries,Agriculture
356,3,Directory of legal acts,27,04,Fisheries,04.05,"General, supply and research",Fisheries
357,3,Directory of legal acts,28,04,Fisheries,04.07,Statistics,Fisheries
358,3,Directory of legal acts,29,04,Fisheries,04.10,Common fisheries policy,Fisheries
359,3,Directory of legal acts,30,04,Fisheries,04.20,External relations,Fisheries
360,3,Directory of legal acts,31,05,Freedom of movement for workers and social policy,05.07,Statistics,Social policy
361,3,Directory of legal acts,32,05,Freedom of movement for workers and social policy,05.10,Freedom of movement for workers,Social policy
362,3,Directory of legal acts,33,05,Freedom of movement for workers and social policy,05.20,Social policy,Social policy
363,3,Directory of legal acts,34,06,Right of establishment and freedom to provide services,06.07,Statistics,Social policy
364,3,Directory of legal acts,35,06,Right of establishment and freedom to provide services,06.10,Principles and conditions,Social policy
365,3,Directory of legal acts,36,06,Right of establishment and freedom to provide services,06.20,Sectoral application,Social policy
366,3,Directory of legal acts,37,06,Right of establishment and freedom to provide services,06.30,Public contracts,Social policy
367,3,Directory of legal acts,38,07,Transport policy,07.05,General,Transport
368,3,Directory of legal acts,39,07,Transport policy,07.07,Statistics,Transport
369,3,Directory of legal acts,40,07,Transport policy,07.10,Transport infrastructure,Transport
370,3,Directory of legal acts,41,07,Transport policy,07.20,Inland transport,Transport
371,3,Directory of legal acts,42,07,Transport policy,07.30,Shipping,Transport
372,3,Directory of legal acts,43,07,Transport policy,07.40,Ait transport,Transport
373,3,Directory of legal acts,44,08,Competition policy,08.10,Competition principles,Competition
374,3,Directory of legal acts,45,08,Competition policy,08.20,Restrictive practices,Competition
375,3,Directory of legal acts,46,08,Competition policy,08.30,Dominant positions,Competition
376,3,Directory of legal acts,47,08,Competition policy,08.40,Concentrations,Competition
377,3,Directory of legal acts,48,08,Competition policy,08.50,Application of the rules of competition to public undertakings,Competition
378,3,Directory of legal acts,49,08,Competition policy,08.60,State aids and other subsidies,Competition
379,3,Directory of legal acts,50,08,Competition policy,08.70,Intra-Community dumping practices,Competition
380,3,Directory of legal acts,51,08,Competition policy,08.80,Obligations of undertakings,Competition
381,3,Directory of legal acts,52,08,Competition policy,08.90,National trading monopolies,Competition
382,3,Directory of legal acts,53,09,Taxation,09.10,General,Taxation
383,3,Directory of legal acts,54,09,Taxation,09.20,Direct taxation,Taxation
384,3,Directory of legal acts,55,09,Taxation,09.30,Indirect taxation,Taxation
385,3,Directory of legal acts,56,09,Taxation,09.40,Other taxes,Taxation
386,3,Directory of legal acts,57,09,Taxation,09.50,Prevention of tax evasion and avoidance,Taxation
387,3,Directory of legal acts,58,10,Economic and monetary policy and the free movement of capital,10.07,Statistics,Economic policy
388,3,Directory of legal acts,59,10,Economic and monetary policy and the free movement of capital,10.10,General,Economic policy
389,3,Directory of legal acts,60,10,Economic and monetary policy and the free movement of capital,10.20,Monetary policy,Economic policy
390,3,Directory of legal acts,61,10,Economic and monetary policy and the free movement of capital,10.30,Economic policy,Economic policy
391,3,Directory of legal acts,62,10,Economic and monetary policy and the free movement of capital,10.40,Free movement of capital,Economic policy
392,3,Directory of legal acts,63,11,External relations,11.10,General,External relations
393,3,Directory of legal acts,64,11,External relations,11.20,European political cooperation,External relations
394,3,Directory of legal acts,65,11,External relations,11.30,Multilateral relations,External relations
395,3,Directory of legal acts,66,11,External relations,11.40,Bilateral agreements with non-member countries,External relations
396,3,Directory of legal acts,67,11,External relations,11.50,Action in favor of countries in transition,External relations
397,3,Directory of legal acts,68,11,External relations,11.60,Commercial policy,Trade
398,3,Directory of legal acts,69,11,External relations,11.70,Development policy,Development
399,3,Directory of legal acts,70,12,Energy,12.07,Statistics,Energy
400,3,Directory of legal acts,71,12,Energy,12.10,General principles and programs,Energy
401,3,Directory of legal acts,72,12,Energy,12.20,Coal,Energy
402,3,Directory of legal acts,73,12,Energy,12.30,Electricity,Energy
403,3,Directory of legal acts,74,12,Energy,12.40,Nuclear energy,Energy
404,3,Directory of legal acts,75,12,Energy,12.50,Oil and gas,Energy
405,3,Directory of legal acts,76,12,Energy,12.60,Other sources of energy,Energy
406,3,Directory of legal acts,77,13,Industrial policy and internal market,13.10,"Industrial policy: general, programs, statistics and research",Industrial policy
407,3,Directory of legal acts,78,13,Industrial policy and internal market,13.20,Industrial policy: sectoral operations,Industrial policy
408,3,Directory of legal acts,79,13,Industrial policy and internal market,13.30,Internal market: approximation of laws,Internal market
409,3,Directory of legal acts,80,13,Industrial policy and internal market,13.40,Internal market: policy relating to undertakings,Internal market
410,3,Directory of legal acts,81,13,Industrial policy and internal market,13.50,Miscellaneous,Multiple
411,3,Directory of legal acts,82,13,Industrial policy and internal market,13.60,Trans-European networks,Information technology
412,3,Directory of legal acts,83,14,Regional policy coordination of structural instruments,14.07,Statistics,Regional policy
413,3,Directory of legal acts,84,14,Regional policy coordination of structural instruments,14.10,"General principles, programs and statistics",Regional policy
414,3,Directory of legal acts,85,14,Regional policy coordination of structural instruments,14.20,European Regional Development Fund (ERDF),Regional policy
415,3,Directory of legal acts,86,14,Regional policy coordination of structural instruments,14.30,Monitoring and coordination of regional State aids,Regional policy
416,3,Directory of legal acts,87,14,Regional policy coordination of structural instruments,14.40,Autonomous regional action,Regional policy
417,3,Directory of legal acts,88,14,Regional policy coordination of structural instruments,14.50,Coordination of structural instruments,Regional policy
418,3,Directory of legal acts,89,14,Regional policy coordination of structural instruments,14.60,Economic and social cohesion fund,Regional policy
419,3,Directory of legal acts,90,15,"Environment, consumers and health protection",15.07,Statistics,Multiple
420,3,Directory of legal acts,91,15,"Environment, consumers and health protection",15.10,Environment,Environment
421,3,Directory of legal acts,92,15,"Environment, consumers and health protection",15.20,Consumers,Consumer protection
422,3,Directory of legal acts,93,15,"Environment, consumers and health protection",15.30,Health protection,Health
423,3,Directory of legal acts,94,15,"Environment, consumers and health protection",15.40,Protection of animals,Health
424,3,Directory of legal acts,95,16,"Science, information, education and culture",16.01,General,Multiple
425,3,Directory of legal acts,96,16,"Science, information, education and culture",16.07,Statistics,Multiple
426,3,Directory of legal acts,97,16,"Science, information, education and culture",16.10,Science,Research
427,3,Directory of legal acts,98,16,"Science, information, education and culture",16.20,Dissemination of information,Information technology
428,3,Directory of legal acts,99,16,"Science, information, education and culture",16.30,Education and training,Education
429,3,Directory of legal acts,100,16,"Science, information, education and culture",16.40,Culture,Culture
430,3,Directory of legal acts,101,17,Law relating to undertakings,17.01,General,Competition
431,3,Directory of legal acts,102,17,Law relating to undertakings,17.10,Company law,Competition
432,3,Directory of legal acts,103,17,Law relating to undertakings,17.20,Intellectual property law,Competition
433,3,Directory of legal acts,104,17,Law relating to undertakings,17.30,Economic and commercial law,Competition
434,3,Directory of legal acts,105,18,Common Foreign and Security Policy,None,None,Defense
435,3,Directory of legal acts,106,19,"Area of freedom, security and justice",19.01,General,Multiple
436,3,Directory of legal acts,107,19,"Area of freedom, security and justice",19.10,Free movement of persons,Home affairs
437,3,Directory of legal acts,108,19,"Area of freedom, security and justice",19.20,Judicial cooperation in civil matters,Justice
438,3,Directory of legal acts,109,19,"Area of freedom, security and justice",19.30,Police and judicial cooperation in criminal and customs matters,Justice
439,3,Directory of legal acts,110,19,"Area of freedom, security and justice",19.40,Programs,Justice
440,3,Directory of legal acts,111,19,"Area of freedom, security and justice",19.50,External relations,Justice
441,3,Directory of legal acts,112,20,People's Europe,20.01,General,None
442,3,Directory of legal acts,113,20,People's Europe,20.07,Statistics,None
443,3,Directory of legal acts,114,20,People's Europe,20.10,Freedom of movement of people,None
444,3,Directory of legal acts,115,20,People's Europe,20.20,European citizenship,None
